Plz;Ort;Longitude;Latitude
9913;"Abfaltersbach";46.7603;12.5419
6067;"Absam";47.3;11.5
3462;"Absdorf";48.3167;15.6167
5441;"Abtenau";47.55;13.35
5122;"Ach";47.5178;9.865
2481;"Achau";48.0667;16.3833
6215;"Achenkirch";47.5167;11.7
4541;"Adlwang";47.9833;14.2167
8911;"Admont";47.5667;14.45
5421;"Adnet";47.6833;13.1333
8623;"Aflenz Kurort";47.5333;15.2333
9542;"Afritz";46.7269;13.8075
3642;"Aggsbach Dorf";48.2833;15.4167
3641;"Aggsbach Markt";48.2833;15.4
8943;"Aigen im Ennstal";47.5167;14.1333
4160;"Aigen im Mühlkreis";48.6333;13.9667
9951;"Ainet";46.8661;12.7014
4676;"Aistersheim";48.1833;13.75
4211;"Alberndorf in der Riedmark";48.4;14.4167
6861;"Alberschwende";47.45;9.81667
6071;"Aldrans";47.25;11.45
4072;"Alkoven";48.2833;14.1
2534;"Alland";48.05;16.0833
3804;"Allentsteig";48.6833;15.3167
8412;"Allerheiligen bei Wildon";46.9142;15.5544
8643;"Allerheiligen im Mürztal";47.4667;15.4
4511;"Allhaming";48.15;14.1667
6236;"Alpbach";47.3833;11.9333
8671;"Alpl";46.9931;14.4447
6844;"Altach";47.35;9.65
8992;"Altaussee";47.6333;13.7667
4203;"Altenberg bei Linz";48.3667;14.3333
4121;"Altenfelden";48.4833;13.9667
4674;"Altenhof am Hausruck";48.1333;13.6833
5541;"Altenmarkt im Pongau";47.3833;13.4167
3474;"Altenwörth";48.3833;15.85
3033;"Altlengbach";48.15;15.9167
2144;"Altlichtenwarth";48.6333;16.8
4813;"Altmünster";47.9;13.75
4721;"Altschwendt";48.3333;13.6833
2141;"Ameis";48.6667;16.5333
7163;"Andau";47.7667;17.0333
6866;"Andelsbuch";47.4167;9.88333
4754;"Andrichsfurt";48.25;13.5167
5081;"Anif";47.75;13.0667
5524;"Annaberg";47.5167;13.4333
4052;"Ansfelden";47.965;13.0494
5102;"Anthering";47.8833;13.0167
4980;"Antiesenhofen";48.35;13.4
7143;"Apetlon";47.75;16.8333
3925;"Arbesbach";48.4833;14.95
4341;"Arbing";48.05;13.4667
3321;"Ardagger";48.1667;14.8167
8904;"Ardning";47.5833;14.35
8454;"Arnfels";46.6764;15.4031
9601;"Arnoldstein";46.5461;13.71
4122;"Arnreit";48.5333;14
9543;"Arriach";46.7319;13.8519
3661;"Artstetten";48.2333;15.2
6471;"Arzl im Pitztal";47.2;10.7667
4082;"Aschach an der Donau";48.3667;14.0333
4421;"Aschach an der Steyr";48;14.3333
3361;"Aschbach Markt";48.0667;14.75
2870;"Aspang";47.55;16.0833
2151;"Asparn an der Zaya";48.5833;16.5
3041;"Asperhofen";48.2333;15.9167
4864;"Attersee";47.8667;13.55
4800;"Attnang-Puchheim";48.0083;13.7167
3452;"Atzenbrugg";48.2833;15.9
2214;"Auersthal";48.3667;16.6333
4971;"Aurolzmünster";48.25;13.45
9931;"Außervillgraten";46.7875;12.4314
6094;"Axams";47.2333;11.3
4672;"Bachmanning";48.1167;13.8
8990;"Bad Aussee";47.6;13.7833
2405;"Bad Deutsch Altenburg";48.1333;16.9
9135;"Bad Eisenkappel";46.4864;14.5961
2721;"Bad Fischau";47.8333;16.1667
8524;"Bad Gams";46.8711;15.2247
8344;"Bad Gleichenberg";46.8756;15.9086
4822;"Bad Goisern";47.6333;13.6167
4540;"Bad Hall";48.0333;14.2
5630;"Bad Hofgastein";47.1667;13.1
4820;"Bad Ischl";47.7167;13.6167
4829;"Bad Ischl";47.7167;13.6167
9546;"Bad Kleinkirchheim";46.8228;13.7922
